date,max_temp,min_temp
2026-01-21,-6.5,-13.6
2026-01-22,-1.4,-7.2
2026-01-23,-6.9,-16.3
2026-01-24,-18.1,-28.8
2026-01-25,-17.4,-28.7
2026-01-26,-11.5,-17.6
2026-01-27,-10.2,-21.0
2026-01-28,-9.0,-21.1
