date,max_temp,min_temp
2026-01-21,29.9,22.4
2026-01-22,30.0,20.8
2026-01-23,30.6,21.1
2026-01-24,31.7,19.8
2026-01-25,29.7,21.1
2026-01-26,29.8,21.2
2026-01-27,30.1,20.8
2026-01-28,29.1,20.5
