date,max_temp,min_temp
2026-01-21,13.7,8.2
2026-01-22,12.2,7.3
2026-01-23,10.0,5.5
2026-01-24,10.3,3.4
2026-01-25,8.4,4.0
2026-01-26,8.7,5.1
2026-01-27,10.0,5.2
2026-01-28,8.3,2.8
